LS,FS,RS,Theta_d,vel_R,vel_L
0.2583,0.4763,0.8219,0.1494,2.3359,7.141
0.0191,0.8423,0.0915,0.3462,3.1957,3.9766
0.2683,0.45,0.0264,0.0151,10.1434,-2.8778
0.9749,0.398,0.5849,0.1657,8.1342,1.9837
0.6775,0.4844,0.9058,0.4347,5.195,5.0583
0.2923,0.6541,0.23,0.6611,5.0355,4.2486
0.0527,0.8686,0.2843,0.0618,-0.2994,7.8881
0.3215,0.1037,0.8521,0.1223,8.7715,-0.6095
0.1705,0.0221,0.833,0.799,-0.4248,7.6361
0.7025,0.4616,0.1471,0.1746,8.1691,0.4268
0.7477,0.6264,0.9626,0.5885,4.4068,5.6363
0.5915,0.3036,0.2094,0.7703,6.1878,2.9424
0.0983,0.348,0.1311,0.8314,-0.0819,8.1865
0.3225,0.576,0.6316,0.8318,1.6113,8.2246
0.5371,0.7884,0.0789,0.2983,6.5144,1.3779
0.2489,0.3509,0.1964,0.9802,8.535,0.4927
0.5707,0.593,0.0713,0.3173,6.2472,1.559
0.1477,0.0324,0.3925,0.2477,7.0382,0.3033
0.1875,0.8003,0.9317,0.3648,4.3601,4.5948
0.127,0.2129,0.023,0.0178,10.1094,-2.8868
0.9087,0.6284,0.1281,0.191,7.9519,0.4605
0.0171,0.136,0.944,0.6425,1.6434,5.5033
0.2113,0.913,0.3173,0.5522,4.3607,4.7839
0.9513,0.9067,0.3295,0.828,6.9418,2.9269
0.0842,0.0846,0.7384,0.8531,-0.4921,8.4429
0.3561,0.5891,0.7456,0.0526,1.8875,8.093
0.4991,0.7751,0.8519,0.292,4.4479,5.8085
0.8144,0.9996,0.7499,0.3524,5.566,3.8576
0.9433,0.4907,0.3732,0.0947,8.851,1.1911
0.1326,0.735,0.0649,0.5249,4.3072,3.4252
0.6698,0.5876,0.4127,0.0741,8.932,1.2228
0.6304,0.3329,0.491,0.6868,3.1012,6.7829
0.9398,0.426,0.9963,0.1764,7.9775,2.2061
0.7442,0.7339,0.4941,0.4856,6.7837,3.4727
0.6434,0.66,0.194,0.7993,6.4812,2.527
0.6651,0.174,0.6818,0.4184,5.3658,3.4732
0.206,0.5281,0.7494,0.5001,-1.0659,10.1695
0.9523,0.0947,0.4847,0.0973,9.0785,-1.0129
0.8933,0.326,0.1772,0.1465,8.5153,0.3514
0.5562,0.6903,0.4696,0.3802,6.1391,4.105
0.7421,0.0106,0.6269,0.3351,5.7839,1.2786
0.3661,0.2001,0.9847,0.8109,1.0212,8.0362
0.3758,0.223,0.4877,0.8938,0.2738,8.9601
0.2366,0.4323,0.6362,0.7272,2.1942,7.1371
0.1902,0.3671,0.8303,0.4463,5.7195,3.2569
0.9278,0.7523,0.1166,0.6489,4.439,3.8574
0.5858,0.4984,0.7571,0.6784,3.667,6.5894
0.0391,0.4933,0.1234,0.5045,-1.3223,8.7459
0.0024,0.3534,0.1202,0.2023,1.0988,5.8561
0.7057,0.2483,0.5372,0.9431,-0.0583,9.4696
0.5046,0.762,0.0493,0.6387,3.9513,3.5964
0.7375,0.878,0.791,0.7238,3.4326,6.072
0.6335,0.4806,0.719,0.9946,0.9858,9.2655
0.8485,0.8193,0.6146,0.0846,7.9779,2.1031
0.6707,0.4357,0.2183,0.9566,8.2719,0.926
0.0666,0.0329,0.7494,0.1771,7.9816,-0.6339
0.5729,0.2784,0.0879,0.1607,8.2763,-0.2845
0.8028,0.5111,0.1212,0.733,5.4867,2.8559
0.3475,0.585,0.2962,0.6597,5.2049,4.4977
0.4036,0.169,0.6658,0.0301,9.8684,-1.0726
0.6378,0.6101,0.5716,0.5883,4.8179,5.3698
0.9028,0.4804,0.3255,0.7383,6.0493,3.801
0.9323,0.4747,0.0413,0.1279,8.646,-1.1947
0.1119,0.7681,0.1048,0.6034,3.8172,4.3571
0.7788,0.2249,0.3949,0.117,8.8421,0.4051
0.1575,0.7056,0.8248,0.8861,-0.1968,8.8892
0.5668,0.2564,0.9418,0.6059,3.6039,5.8607
0.7117,0.4456,0.242,0.2695,7.1809,2.1883
0.6907,0.0371,0.1694,0.9208,-1.8855,9.2844
0.5615,0.3714,0.681,0.982,0.4569,9.579
0.7851,0.8873,0.5057,0.0521,8.7686,1.4878
0.5772,0.8914,0.0852,0.0367,9.8405,-1.8785
0.5126,0.7799,0.6441,0.5141,3.4521,6.8022
0.9774,0.0727,0.3069,0.0332,9.891,-2.0685
0.8144,0.5689,0.2926,0.0825,9.1361,0.547
0.1147,0.6667,0.0402,0.2262,7.3433,0.0936
0.3138,0.4754,0.4331,0.7326,2.5582,7.2356
0.9583,0.5226,0.0426,0.9174,7.5916,-0.125
0.9168,0.9443,0.7267,0.9943,7.0011,2.5702
0.0754,0.8099,0.0916,0.1238,0.7179,7.1344
0.6212,0.0144,0.0788,0.409,4.7952,2.3177
0.0842,0.5173,0.3826,0.9048,-1.1464,9.0972
0.5456,0.8446,0.6348,0.5831,4.4724,5.7563
0.2412,0.8861,0.8954,0.1268,1.9924,7.3707
0.1012,0.3387,0.2709,0.5946,2.892,5.2434
0.1456,0.8223,0.0939,0.0754,9.3531,-1.2957
0.4073,0.5024,0.7699,0.2892,4.2893,5.8523
0.6151,0.3294,0.0898,0.8755,7.157,0.8553
0.4241,0.2439,0.2493,0.2602,7.2834,2.0992
0.9994,0.4379,0.4198,0.2857,7.0098,3.1604
0.3303,0.6877,0.4811,0.779,2.1789,7.694
0.4578,0.5771,0.5366,0.5348,4.6296,5.6032
0.019,0.4976,0.1063,0.3924,3.8202,3.3511
0.6249,0.7684,0.6461,0.2677,4.2758,5.7724
0.6771,0.9576,0.1218,0.8676,7.1313,1.2185
0.4056,0.2731,0.7942,0.2231,7.6909,1.8794
0.5785,0.602,0.9398,0.6991,3.6113,6.563
0.8783,0.2066,0.8066,0.9212,-0.1677,9.2765
0.9624,0.6711,0.8312,0.3359,6.005,3.8607
0.0547,0.8687,0.7876,0.5278,2.6594,4.9529
0.9553,0.7634,0.95,0.7592,3.2005,6.1308
0.8483,0.4853,0.3798,0.732,6.0338,4.0298
0.1367,0.4064,0.23,0.4884,2.8718,5.6246
0.6282,0.0249,0.3616,0.1653,8.1259,-0.8787
0.8068,0.7379,0.5056,0.3901,6.0223,4.2341
0.7878,0.5694,0.4791,0.712,5.8532,4.397
0.5398,0.772,0.9777,0.8741,2.2037,8.0322
0.7151,0.8286,0.542,0.1764,7.6318,2.601
0.0236,0.7124,0.8169,0.2077,1.3616,5.8692
0.4948,0.2943,0.0139,0.7861,5.7418,1.3638
0.8968,0.972,0.0858,0.1193,8.7976,-0.8284
0.9404,0.1847,0.178,0.1245,8.7698,0.104
0.6135,0.7226,0.3042,0.0333,9.6149,0.1297
0.323,0.0279,0.8265,0.7581,0.1843,7.1008
0.4502,0.6676,0.9594,0.6144,4.1207,6.1029
0.4252,0.2814,0.4778,0.8981,0.6706,8.9489
0.2206,0.6296,0.7997,0.216,2.8486,6.3667
0.0024,0.7866,0.8822,0.5779,3.4257,3.5292
0.6587,0.862,0.6617,0.7958,2.995,6.926
0.322,0.319,0.7997,0.6818,3.092,6.7275
0.9521,0.7783,0.239,0.8602,7.2253,2.1224
0.2528,0.0296,0.3276,0.084,9.221,-1.9154
0.3416,0.4054,0.4906,0.7151,2.8602,7.0619
0.1686,0.955,0.5902,0.4993,0.3172,8.4746
0.7615,0.842,0.8991,0.3908,4.7615,4.5831
0.2176,0.5627,0.2627,0.0563,1.0607,8.1321
0.0169,0.9897,0.2787,0.7608,0.0376,7.1071
0.8891,0.0546,0.6071,0.5999,2.5042,5.1071
0.8258,0.3014,0.3017,0.1038,8.9031,0.8271
0.3109,0.0509,0.2268,0.3971,5.1322,2.435
0.281,0.6493,0.8316,0.2047,3.0359,6.5815
0.2883,0.2963,0.8619,0.2926,3.9777,5.6808
0.4345,0.0266,0.6835,0.3661,5.4335,1.8352
0.8694,0.4333,0.3907,0.2985,6.9178,3.1796
0.7007,0.6186,0.1342,0.2394,7.3767,1.0961
0.4962,0.056,0.5066,0.6485,1.8816,5.7461
0.3639,0.87,0.5875,0.0593,1.9915,8.0178
0.0437,0.659,0.9284,0.5097,0.1268,7.3532
0.9296,0.1739,0.6617,0.4546,4.7509,4.087
0.1409,0.3569,0.6915,0.3957,4.5156,4.0218
0.2377,0.4489,0.8748,0.1855,2.6088,6.7307
0.8743,0.512,0.9658,0.6706,3.7526,6.5018
0.667,0.1091,0.2516,0.7183,1.4156,6.8039
0.7921,0.6339,0.2906,0.3963,5.9056,3.7662
0.6301,0.9134,0.0569,0.6524,4.1732,3.4647
0.7804,0.6374,0.5049,0.3324,6.4923,3.7641
0.5655,0.7984,0.9841,0.9762,1.5086,8.6903
0.9997,0.8973,0.8262,0.0173,6.865,1.973
0.3428,0.3739,0.8918,0.8422,1.6251,8.302
0.8154,0.6137,0.9407,0.8533,2.5422,7.5419
0.5035,0.399,0.0629,0.2668,6.8717,0.837
0.9577,0.3651,0.4085,0.369,6.2562,3.7572
0.7775,0.8853,0.8238,0.9788,1.9713,7.2584
0.9856,0.0699,0.2722,0.7874,0.2059,7.5839
0.066,0.3723,0.6668,0.5225,2.2919,5.4527
0.7115,0.0304,0.5485,0.6447,1.7254,5.5905
0.4069,0.9596,0.0413,0.2238,7.3783,0.073
0.4383,0.1347,0.0192,0.5004,8.3567,-1.1823
0.0917,0.761,0.192,0.0541,-0.0159,8.0497
0.5801,0.3201,0.5353,0.4125,5.788,4.0367
0.671,0.8394,0.3238,0.7919,6.5808,3.2612
0.5631,0.8747,0.8309,0.055,2.6801,7.523
0.9386,0.1083,0.8744,0.5266,2.934,5.2763
0.9026,0.2949,0.671,0.8781,0.9703,8.7251
0.9474,0.6537,0.1585,0.7464,5.7766,2.925
0.9137,0.0283,0.5093,0.227,7.3044,-0.0142
0.3098,0.7817,0.7634,0.6404,3.4701,6.3043
0.4886,0.8879,0.0043,0.0031,10.3197,-3.3392
0.4579,0.4279,0.0343,0.6419,3.9054,3.4597
0.932,0.9094,0.5273,0.8779,7.123,3.1232
0.0401,0.8129,0.734,0.8246,-0.5766,8.0124
0.7917,0.0416,0.0232,0.7279,4.9959,2.2287
0.7167,0.6656,0.3625,0.7027,5.743,4.2611
0.2625,0.2186,0.8186,0.1354,8.6421,0.5589
0.4126,0.3746,0.1041,0.8907,7.3787,0.7885
0.6975,0.9037,0.2308,0.5901,4.2612,5.0291
0.5882,0.0401,0.1018,0.5722,3.6465,3.7894
0.985,0.6904,0.979,0.3656,5.7402,4.0331
0.2083,0.652,0.7353,0.2296,2.9327,6.1893
0.8415,0.2967,0.1524,0.8984,7.5546,1.0905
0.7948,0.6643,0.9518,0.7184,3.509,6.3874
0.8823,0.4667,0.2509,0.7303,5.842,3.5867
0.4493,0.4569,0.1765,0.9186,7.8212,1.0404
0.6581,0.8001,0.4716,0.3674,6.246,4.0001
0.945,0.6556,0.7892,0.2599,6.5706,3.3628
0.6034,0.4289,0.7594,0.4862,6.949,3.2397
0.168,0.5843,0.7014,0.9942,-1.3626,10.1493
0.8143,0.5807,0.5356,0.4181,5.7619,4.4771
0.8124,0.5289,0.7033,0.7835,2.8844,7.3607
0.185,0.268,0.9301,0.2052,2.5208,6.4125
0.4301,0.7224,0.1421,0.015,10.0722,-1.5235
0.8017,0.1626,0.5758,0.3819,5.754,2.9845
0.7994,0.8867,0.0069,0.3259,5.8947,1.1197
0.0633,0.8947,0.4527,0.5866,2.7392,4.9747
0.2335,0.7497,0.9787,0.8242,1.1172,8.1925
0.1033,0.7307,0.297,0.9024,-0.9165,9.0744
0.3623,0.4201,0.6075,0.981,0.4055,9.5986
0.318,0.465,0.7338,0.1091,2.2434,7.571
0.6732,0.3819,0.226,0.217,7.7416,1.5138
0.1582,0.6363,0.3676,0.9896,-1.4081,10.1066
0.1147,0.523,0.4157,0.4626,5.0918,3.1851
0.983,0.4311,0.9808,0.8589,1.9167,8.2761
0.4165,0.5351,0.6225,0.4779,5.0915,5.0716
0.3589,0.9749,0.2105,0.6602,4.9611,4.1784
0.6432,0.169,0.1056,0.0838,9.2504,-1.0679
0.8495,0.9879,0.3526,0.4415,5.1049,4.8622
0.5921,0.9331,0.5833,0.335,6.299,3.8651
0.4048,0.5511,0.3166,0.6463,5.1161,4.6921
0.139,0.3654,0.5816,0.1906,2.0481,6.4708
0.3043,0.8519,0.3075,0.4932,2.8545,6.8912
0.4758,0.4781,0.8631,0.4045,5.3725,4.8767
0.0869,0.2857,0.4604,0.6711,1.8323,6.1493
0.2952,0.7399,0.0153,0.4807,5.5675,1.5566
0.3789,0.4887,0.7737,0.7783,2.4184,7.6421
0.4844,0.268,0.6319,0.2943,6.9392,2.5993
0.8801,0.25,0.3155,0.2035,7.8968,1.5268
0.096,0.4309,0.2306,0.7062,1.4621,6.6179
0.4579,0.253,0.6148,0.3435,6.3981,3.045
0.7987,0.9681,0.9697,0.1998,3.6002,5.4664
0.8558,0.4151,0.7041,0.6264,3.9406,6.2194
0.2155,0.569,0.2935,0.7605,1.695,7.4824
0.4495,0.5019,0.4981,0.9552,1.1616,9.0609
0.0077,0.5756,0.8621,0.267,2.0326,4.992
0.3462,0.4796,0.7794,0.1313,2.6003,7.3412
0.9198,0.9091,0.9144,0.9567,2.0522,5.9725
0.2443,0.229,0.524,0.3361,6.437,2.84
0.3195,0.3341,0.1482,0.6818,4.9757,3.6305
0.5224,0.1893,0.5044,0.8975,-0.048,9.0172
0.7627,0.1477,0.2563,0.6233,2.8365,5.7645
0.6447,0.1114,0.0539,0.8264,6.4278,1.1753
0.116,0.789,0.6707,0.5897,3.0466,5.2437
0.2622,0.462,0.3203,0.4709,5.2309,4.2717
0.3258,0.8669,0.4174,0.8311,1.6375,8.2138
0.2615,0.9451,0.262,0.9081,0.4194,9.0791
0.6362,0.8431,0.0067,0.2884,6.4076,0.6037
0.654,0.3511,0.5672,0.8696,1.4064,8.5546
0.1173,0.5696,0.6608,0.3931,4.3727,3.9309
0.0396,0.0883,0.7357,0.4083,4.155,3.2748
0.9903,0.2271,0.3991,0.9301,-0.0922,9.3558
0.8574,0.313,0.0693,0.3501,5.8186,1.964
0.8153,0.3774,0.8868,0.4969,8.872,1.1844
0.228,0.1003,0.1405,0.1314,8.6554,-0.5293
0.8551,0.473,0.6541,0.8421,2.2349,8.0123
0.688,0.3543,0.023,0.6704,4.2205,3.0021
0.0361,0.6567,0.801,0.2426,1.9328,5.4539
0.4306,0.011,0.5549,0.3427,5.6816,1.3861
0.6664,0.1994,0.7773,0.0566,9.5339,-0.4827
0.5051,0.4821,0.9866,0.1255,8.2568,1.9955
0.9806,0.2286,0.4251,0.5161,2.6265,6.6483
0.152,0.5154,0.4701,0.1221,1.3269,7.3151
0.7953,0.1631,0.2177,0.7219,1.7752,6.9673
0.8618,0.5617,0.7686,0.157,7.7039,2.5023
0.6448,0.5931,0.6841,0.2932,6.5757,3.5648
0.5009,0.5627,0.6695,0.0375,2.3696,7.8868
0.4929,0.5044,0.1531,0.41,5.391,3.2603
0.5767,0.1501,0.8355,0.1912,7.9746,0.649
0.9116,0.6791,0.3816,0.8336,6.9863,3.0835
0.8385,0.058,0.2649,0.4679,4.6844,2.9669
0.8597,0.4593,0.1022,0.1528,8.3913,-0.2446
0.3023,0.1051,0.8969,0.3615,5.8072,2.3702
0.6865,0.186,0.3866,0.6582,2.6617,6.2798
0.9871,0.5104,0.8195,0.6916,3.5808,6.6746
0.8647,0.4199,0.7846,0.9603,0.955,9.2152
0.7164,0.3834,0.3318,0.5087,6.8488,3.0302
0.167,0.2469,0.8552,0.3406,3.9867,4.7907
0.17,0.836,0.3478,0.2777,3.27,5.5341
0.7391,0.9394,0.8644,0.4815,5.3735,4.1208
0.8097,0.388,0.5127,0.869,1.6151,8.4741
0.9884,0.4151,0.5883,0.4755,6.0418,4.1182
0.6884,0.2243,0.564,0.39,5.8347,3.4084
0.0919,0.5533,0.8455,0.9826,-2.0426,10.0785
0.3576,0.7311,0.5845,0.2868,4.1448,5.8409
0.5111,0.0951,0.1944,0.3638,5.7423,2.3284
0.0633,0.9447,0.7196,0.4789,3.7683,3.9455
0.0882,0.1396,0.9787,0.6159,2.5382,5.4577
0.7583,0.7554,0.1356,0.1236,8.7725,-0.2863
0.4246,0.8406,0.3836,0.2538,7.3391,2.7368
0.7468,0.6484,0.3551,0.2357,7.5351,2.4413
0.7491,0.984,0.3679,0.3574,6.3677,3.6558
0.0706,0.3273,0.0356,0.8858,7.1563,0.2242
0.4786,0.2061,0.7653,0.895,0.1225,8.9822
0.7414,0.2869,0.7986,0.6027,3.7646,5.8867
0.9821,0.0597,0.7373,0.028,9.9617,-2.29
0.0276,0.5626,0.4194,0.1293,0.3448,6.9362
0.196,0.9503,0.9198,0.7691,1.464,7.5595
0.25,0.3571,0.4728,0.7952,1.5432,7.8804
0.7727,0.9239,0.6113,0.705,5.6125,4.4788
0.3088,0.0021,0.3748,0.9043,-2.0915,9.0423
0.4255,0.3637,0.5503,0.2735,7.1678,2.8415
0.7771,0.2369,0.1171,0.1651,8.2548,0.0468
0.1477,0.3073,0.8256,0.1875,2.0712,6.5298
0.3912,0.1834,0.426,0.3342,6.3637,2.5563
0.0333,0.425,0.8506,0.875,-1.3203,8.6731
0.3465,0.706,0.3954,0.3914,5.1301,4.8125
0.5076,0.0123,0.969,0.5234,1.9636,5.1216
0.0673,0.2019,0.7857,0.3242,3.2251,4.5349
0.204,0.5254,0.7453,0.4467,5.7537,3.3345
0.6117,0.1883,0.5217,0.6843,2.3777,6.5834
0.9411,0.2219,0.4098,0.4572,4.9845,4.2401
0.97,0.3194,0.0244,0.4632,4.2813,2.9587
0.9191,0.2234,0.3369,0.8864,0.359,8.878
0.2913,0.0001,0.2204,0.7093,0.5748,6.3494
0.2979,0.6264,0.8848,0.3133,4.2243,5.4875
0.4605,0.4046,0.3679,0.6079,4.8477,5.1759
0.6538,0.0684,0.5609,0.2637,6.926,0.8463
0.8207,0.8959,0.926,0.0247,2.6495,6.2357
0.6904,0.3216,0.2464,0.6163,4.6039,4.795
0.6392,0.2227,0.7198,0.1783,8.1667,1.064
0.5084,0.687,0.945,0.5628,5.0487,5.2067
0.1393,0.4539,0.4651,0.0349,0.1845,8.3376
0.1846,0.0799,0.6724,0.6245,2.3705,5.5331
0.2535,0.6509,0.2003,0.3168,6.5974,2.461
0.7198,0.6779,0.7484,0.3925,5.6131,4.2217
0.0776,0.9826,0.2557,0.8103,-0.014,7.8909
0.9944,0.4266,0.1405,0.1527,8.426,0.1074
0.9184,0.8469,0.9508,0.4663,4.4904,4.1609
0.5892,0.008,0.4533,0.6984,0.8005,6.2283
0.5835,0.5913,0.8696,0.8059,2.8286,7.3345
0.5762,0.1897,0.2,0.1967,7.946,1.0263
0.9448,0.894,0.0319,0.2594,6.8803,0.4541
0.3581,0.4754,0.9986,0.5389,4.5736,5.4141
0.6541,0.0013,0.4318,0.2004,7.6018,-0.6613
0.6107,0.6999,0.049,0.6497,4.0939,3.4507
0.3688,0.0414,0.296,0.5984,2.4271,5.0252
0.5351,0.3004,0.7526,0.3644,6.2468,3.4783
0.4213,0.5531,0.8974,0.7349,2.983,7.1903
0.0327,0.085,0.6168,0.8696,-1.2559,8.6005
0.7753,0.2499,0.2264,0.1469,8.5124,0.7461
0.0499,0.5854,0.4097,0.4962,0.291,7.2638
0.2899,0.3619,0.203,0.5861,4.1003,4.9797
0.3248,0.2644,0.1334,0.6568,4.6135,3.8512
0.882,0.1099,0.0876,0.7814,5.9654,2.0233
0.701,0.0287,0.6126,0.3236,6.0113,1.283
0.3596,0.5511,0.0507,0.1992,7.723,-0.1579
0.5794,0.9341,0.1088,0.543,2.5634,5.653
0.9877,0.8226,0.1394,0.5684,2.7631,5.76
0.1979,0.9013,0.9403,0.8699,0.3373,8.7017
0.8467,0.0537,0.3569,0.2255,7.3856,0.2154
0.5734,0.947,0.7007,0.1827,3.6561,6.5285
0.3366,0.4006,0.0196,0.9947,8.5868,-1.4073
0.1743,0.3396,0.0892,0.7449,5.5108,2.4953
0.7065,0.4671,0.986,0.9826,1.0176,9.2245
0.2813,0.872,0.1281,0.1969,7.8805,0.5318
0.1326,0.3896,0.1507,0.3781,4.2649,4.1915
0.925,0.7144,0.9687,0.5585,4.4644,5.1787
0.9903,0.2383,0.0775,0.2943,6.5617,1.3152
0.8157,0.9101,0.0723,0.1474,8.4268,-0.6093
0.3682,0.561,0.7167,0.8098,2.0711,7.9535
0.6435,0.6631,0.6778,0.5776,4.4645,5.517
0.2385,0.5296,0.4543,0.23,3.0964,6.2482
0.0293,0.1501,0.3791,0.3677,3.5526,3.75
0.0277,0.4651,0.3649,0.0745,-0.3889,7.671
0.252,0.2289,0.1492,0.9162,7.7613,0.854
0.4411,0.4356,0.0783,0.7214,5.1678,2.7174
0.6095,0.674,0.3169,0.9315,7.9763,1.8329
0.1632,0.1949,0.8086,0.9759,-1.1967,9.9403
0.0457,0.6834,0.5942,0.3497,3.4185,4.0861
0.777,0.7157,0.6404,0.9234,7.0313,2.9625
0.9188,0.2781,0.4477,0.5512,4.5891,5.0109
0.9166,0.3273,0.3186,0.906,7.7198,2.0976
0.2622,0.5674,0.8605,0.8238,1.3184,8.1841
0.8723,0.9833,0.0846,0.549,2.3955,5.5604
0.7101,0.347,0.4545,0.9592,0.5119,9.4328
0.2396,0.1671,0.6895,0.7215,1.808,6.9704
0.0096,0.5313,0.4485,0.3718,3.4805,3.5697
0.0151,0.4054,0.6306,0.5293,2.4741,4.6469
0.3416,0.7693,0.284,0.9745,8.4412,1.1936
0.101,0.6891,0.7391,0.7522,0.929,7.2043
0.3608,0.3591,0.1336,0.7754,6.0441,2.4226
0.5239,0.2971,0.5367,0.7954,1.8317,7.876
0.2676,0.9944,0.7569,0.8876,0.6807,8.8557
0.4582,0.9563,0.7085,0.1158,2.8886,7.3442
0.6078,0.7017,0.0106,0.3121,6.098,0.9646
0.6061,0.8571,0.455,0.1727,7.939,2.2907
0.7085,0.9209,0.3904,0.096,8.7953,1.3011
0.7311,0.1131,0.5403,0.3614,5.8363,2.4243
0.4298,0.6961,0.0519,0.3223,6.1153,1.4642
0.1406,0.3861,0.8463,0.0102,-0.1004,8.6347
0.2375,0.7094,0.1279,0.9565,8.2209,0.1893
0.2853,0.6774,0.6281,0.8561,1.1334,8.5087
0.1016,0.078,0.0379,0.0744,9.3524,-1.9431
0.2485,0.9637,0.2571,0.7351,2.1795,7.2338
0.3878,0.3231,0.337,0.6734,3.1932,6.6458
0.4592,0.2446,0.7654,0.1255,8.7379,0.6487
0.8275,0.6771,0.9471,0.1377,7.2644,2.5735
0.7047,0.7917,0.5366,0.8839,7.1429,3.095
0.3823,0.0986,0.665,0.7512,0.9209,7.1868
0.1676,0.0551,0.191,0.9226,-1.6982,9.3156
0.0767,0.4531,0.3992,0.3093,3.0951,4.7726
0.0599,0.0477,0.3536,0.5454,3.3829,4.1463
0.0732,0.22,0.5971,0.4432,5.335,2.4927
0.7422,0.3034,0.786,0.6377,3.4717,6.2698
0.4419,0.969,0.2283,0.2373,7.5196,1.7522
0.5612,0.5046,0.0716,0.1602,8.2625,-0.4532
0.8678,0.1897,0.332,0.8484,0.5147,8.4576
0.742,0.7253,0.8921,0.7452,3.3157,6.2638
0.3126,0.9196,0.0916,0.2516,7.1393,0.8935
0.0899,0.637,0.1535,0.5313,3.1188,4.8956
0.8867,0.2003,0.307,0.5087,1.2373,7.8212
0.7603,0.3037,0.2739,0.0635,9.3632,0.2112
0.0493,0.6467,0.2935,0.2621,2.2928,5.2549
0.6701,0.601,0.1418,0.9856,8.582,-0.0363
0.4185,0.6209,0.7004,0.6935,3.3456,6.8226
0.2719,0.8751,0.6315,0.1689,2.6163,6.9468
0.3285,0.5593,0.9593,0.9285,0.688,9.1766
0.2575,0.6477,0.7647,0.7472,2.103,7.3698
0.5365,0.487,0.4334,0.2147,7.6214,2.5755
0.3736,0.3026,0.3559,0.8624,1.1812,8.5553
0.5515,0.7293,0.9891,0.161,3.467,6.7545
0.1337,0.4514,0.5946,0.7192,1.5935,6.8742
0.5019,0.192,0.1119,0.9192,7.7447,0.5035
0.5316,0.1037,0.4758,0.7207,1.3425,6.8195
0.4189,0.7427,0.5692,0.687,3.4053,6.7639
0.4329,0.3739,0.3055,0.7665,6.3097,3.4421
0.8281,0.7737,0.1242,0.0414,9.7665,-1.3932
0.7654,0.0356,0.016,0.7099,4.7166,2.4167
0.6705,0.9069,0.4721,0.2462,7.2701,2.9761
0.938,0.3779,0.0735,0.9998,8.7089,-0.8781
0.9256,0.2559,0.8851,0.9476,-0.0453,9.5079
0.3748,0.8266,0.9997,0.1486,2.8878,7.1594
0.1867,0.4531,0.7949,0.1435,1.8254,7.1223
0.3568,0.6573,0.243,0.2124,7.7987,1.5767
0.1107,0.141,0.0991,0.6061,3.819,4.2948
0.0994,0.6254,0.7097,0.6592,2.0753,6.0416
0.6641,0.1416,0.1019,0.6256,4.0771,4.0664
0.0069,0.832,0.5779,0.0155,-1.4204,8.4347
0.7141,0.1379,0.0509,0.85,6.7267,0.8405
0.1525,0.3579,0.6025,0.0959,1.0204,7.6257
0.9833,0.1827,0.4568,0.444,4.6259,4.288
0.8381,0.9031,0.6681,0.407,5.5506,4.3294
0.3901,0.2271,0.7519,0.3768,5.9866,3.2769
0.4473,0.1677,0.0583,0.0821,9.2585,-1.6032
0.5959,0.3064,0.7827,0.0243,9.7018,0.0552
0.8235,0.178,0.1732,0.5625,2.967,5.8658
0.3059,0.2227,0.204,0.5394,3.1382,5.95
0.0427,0.7929,0.8792,0.7422,0.5381,6.9296
0.8747,0.7801,0.0326,0.4973,9.2625,-1.9189
0.2698,0.589,0.0938,0.6986,4.9489,3.1075
0.797,0.1316,0.0755,0.6518,4.2665,3.5868
0.4508,0.1723,0.0101,0.4235,3.5834,3.473
0.7657,0.9646,0.7513,0.9484,6.5719,2.8425
0.2,0.9564,0.8559,0.6832,2.4619,6.5945
0.9684,0.5837,0.3904,0.4201,5.7902,4.3062
0.2106,0.5614,0.6112,0.1307,1.8404,7.2991
0.6905,0.9249,0.3838,0.2198,7.6559,2.42
0.0089,0.1371,0.5632,0.5269,2.2482,4.7928
0.868,0.5796,0.3398,0.9759,8.3904,1.5235
0.5788,0.5564,0.9029,0.5635,5.0362,5.1781
0.3975,0.9964,0.7859,0.6307,3.8569,6.26
0.7753,0.8393,0.3884,0.8608,7.2347,2.8556
0.3019,0.7147,0.969,0.884,0.9569,8.7765
0.4848,0.7196,0.0176,0.7637,5.4541,1.6997
0.5605,0.6661,0.8456,0.8303,2.5975,7.6107
0.9586,0.8477,0.6422,0.3832,5.7889,4.1978
0.6831,0.6529,0.0117,0.8086,6.0394,1.0375
0.3002,0.4584,0.0803,0.5361,2.3649,5.5428
0.5206,0.3757,0.2138,0.0547,9.5412,-0.3771
0.7274,0.0983,0.52,0.827,-0.0271,8.1317
0.5256,0.0119,0.3382,0.8025,-0.582,7.662
0.5265,0.2429,0.5386,0.7974,1.4726,7.9028
0.5399,0.9934,0.1601,0.397,5.5686,3.1473
0.178,0.3466,0.7907,0.04,0.5718,8.302
0.6454,0.9474,0.1504,0.4844,6.5231,2.1036
0.7244,0.6426,0.7649,0.0747,7.8862,2.0995
0.9307,0.8096,0.5616,0.8054,6.4693,3.7368
0.4586,0.492,0.2247,0.887,7.5068,1.7393
0.3998,0.1159,0.0898,0.5211,4.4362,3.5761
0.1739,0.7857,0.695,0.6769,2.3715,6.4664
0.4946,0.949,0.727,0.4601,5.8243,4.4321
0.3123,0.8627,0.6316,0.3353,4.4928,5.2939
0.5782,0.3319,0.6537,0.9366,0.6311,9.2489
0.2562,0.5287,0.2174,0.9394,8.0815,1.1102
0.0704,0.1233,0.6462,0.5363,3.2361,4.5598
0.9096,0.5473,0.6697,0.7871,2.8982,7.3284
